,index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
87,397642,1028,2,31/12/2013,438,1,0,0,1,3268.515
88,273960,95,2,24/09/2013,1099,1,1,0,0,9281.009
89,12104,208,1,28/10/2013,323,1,0,0,0,2745.2715
90,361202,249,2,08/07/2014,449,1,0,0,0,4569.0205
91,79347,887,3,20/03/2013,614,1,1,0,0,6204.91
92,462803,73,1,28/04/2014,601,1,1,0,1,7242.3843
93,141713,13,4,02/04/2015,501,1,1,0,1,6717.653
94,703618,1049,2,03/09/2013,580,1,0,0,1,5281.3267
95,308360,144,4,05/02/2015,769,1,1,0,0,8151.4756
96,317995,847,3,14/08/2013,1018,1,1,0,1,8812.255
97,364408,796,3,08/05/2013,717,1,0,0,0,6498.044
98,27886,396,4,11/06/2015,1139,1,0,0,0,9702.28
99,706814,1080,7,15/09/2013,0,0,0,0,0,0.0
100,514516,675,5,26/09/2014,338,1,0,0,0,3295.8938
101,577373,1099,1,01/12/2014,1236,1,1,0,0,12235.626
102,190561,791,1,11/05/2015,858,1,0,0,0,7643.7026
103,92512,1014,2,24/03/2015,1476,1,0,0,0,11498.266
104,565163,487,2,04/11/2014,737,1,1,0,0,8379.009
105,500246,427,3,13/02/2013,701,1,0,0,1,6288.566
106,223708,254,5,14/11/2014,282,1,1,0,0,3421.7095
107,555732,43,5,31/01/2014,710,1,0,0,0,6918.696
108,654150,1074,2,09/06/2015,421,1,0,0,0,4135.1714
109,558350,549,6,29/06/2013,380,1,0,0,0,3613.2944
110,52167,1095,2,08/01/2013,720,1,1,0,0,6053.5386
111,296981,295,1,28/10/2013,612,1,0,0,1,4921.8896
112,332143,319,1,14/10/2013,863,1,0,0,1,6942.3154
113,426553,1002,4,10/04/2014,642,1,0,0,0,4969.355
114,481847,448,6,06/12/2014,544,1,0,0,0,6082.878
115,100496,527,2,03/09/2013,1046,1,0,0,1,9304.759
116,706377,255,5,12/04/2013,652,1,1,0,0,6034.9985
117,599169,581,5,04/07/2014,651,1,1,0,0,6280.465
118,55294,185,6,05/01/2013,550,1,0,0,0,5544.8394
119,218737,244,6,22/11/2014,538,1,0,0,0,5170.669
120,266706,1082,6,05/01/2013,877,1,0,0,0,6528.9478
121,441953,216,5,20/03/2015,837,1,1,0,0,6475.01
122,127184,350,4,05/03/2015,508,1,1,0,0,6511.3086
123,312223,748,1,31/03/2014,822,1,1,0,0,10524.104
124,583377,718,1,08/12/2014,962,1,0,0,0,8145.444
125,523743,739,5,21/02/2014,789,1,1,0,0,8238.138
126,476775,614,7,21/12/2014,0,0,0,0,0,0.0
127,620142,673,2,18/02/2014,615,1,1,0,0,6735.323
128,460092,83,1,10/06/2013,367,1,0,0,0,3600.2844
129,169260,976,3,18/09/2013,598,1,0,0,0,5023.01
130,177084,637,6,06/04/2013,518,1,0,0,0,4984.837
131,645354,122,2,07/01/2014,714,1,1,0,0,7567.4316
132,645737,898,1,24/11/2014,1013,1,1,0,0,10122.591
133,272578,1080,4,26/06/2014,710,1,0,0,0,7120.4844
134,600374,291,1,30/03/2015,1290,1,1,0,0,16092.984
135,566038,24,4,03/01/2013,711,1,0,0,1,6820.649
136,381862,1096,7,18/08/2013,0,0,0,0,0,0.0
137,535335,637,5,30/05/2014,860,1,0,0,0,8836.927
138,499411,1002,2,02/06/2015,850,1,1,0,0,8008.372
139,625219,666,1,10/03/2014,497,1,0,0,0,4690.025
140,61823,1089,7,24/11/2013,0,0,0,0,0,0.0
141,653471,334,6,31/08/2013,515,1,0,0,0,4942.072
142,441789,300,6,30/08/2014,951,1,0,0,1,7874.9033
143,155435,207,1,22/09/2014,1166,1,0,0,0,8248.118
144,226567,683,3,27/05/2015,854,1,0,0,0,7453.296
145,107330,1094,2,14/05/2013,394,1,1,0,0,4903.6353
146,149417,700,4,09/07/2015,576,1,0,0,0,5414.2344
147,191690,959,2,26/08/2014,744,1,0,0,0,5755.1836
148,146544,766,7,22/06/2014,0,0,0,0,0,0.0
149,383603,1011,6,08/06/2013,977,1,0,0,0,7789.144
150,452941,570,5,13/12/2013,676,1,0,0,0,7300.52
151,629103,685,2,10/09/2013,689,1,1,0,0,7703.688
152,30258,158,3,16/04/2014,681,1,1,0,1,8358.371
153,219501,66,5,29/05/2015,522,1,0,0,1,5997.8447
154,528607,76,2,30/07/2013,1080,1,1,0,0,10118.591
155,397525,572,3,16/10/2013,458,1,0,0,0,4802.082
156,314281,184,6,11/10/2014,510,1,0,0,0,5431.0776
157,489418,1034,5,06/12/2013,775,1,1,0,0,8016.415
158,182776,559,7,11/08/2013,0,0,0,0,0,0.0
159,335928,862,2,23/12/2014,1561,1,0,0,1,13549.013
160,198358,171,2,11/11/2014,962,1,1,0,0,9321.482
161,400219,33,7,07/12/2014,0,0,0,0,0,0.0
162,427476,936,4,27/11/2014,963,1,1,0,0,8419.809
163,31892,948,2,18/02/2014,1682,1,1,0,0,7079.8057
164,109374,371,6,04/05/2013,551,1,0,0,0,6205.2803
165,385320,242,1,05/05/2014,378,1,1,0,0,4457.186
166,517169,133,5,17/01/2014,622,1,0,0,0,5501.428
167,369733,1031,1,15/12/2014,681,1,1,0,0,8268.623
168,71343,850,4,07/02/2013,710,1,1,0,0,6484.7715
169,42363,860,5,05/06/2015,833,1,1,0,0,7597.689
170,612665,836,6,06/07/2013,301,1,0,0,0,2009.5833
171,428563,965,6,30/11/2013,908,1,0,0,0,8652.059
172,610249,1096,1,26/01/2015,763,1,1,0,0,7126.221
173,669222,504,3,03/09/2014,836,1,1,0,1,7259.996
174,484348,230,1,30/12/2013,1327,1,0,0,1,12355.645
175,194089,826,1,02/12/2013,1170,1,1,0,0,12104.913
176,328888,975,2,30/07/2013,767,1,1,0,1,7559.2686
177,485880,602,2,28/10/2014,547,1,0,0,1,5481.787
178,699868,953,5,19/09/2014,553,1,1,0,0,5720.648
179,265929,187,6,02/11/2013,491,1,0,0,0,5226.5215
180,154648,792,5,18/10/2013,599,1,0,0,0,4936.7007
181,376328,1035,4,27/11/2014,744,1,1,0,0,7412.1113
182,530275,523,3,29/07/2015,1515,1,1,0,1,12964.689
183,441109,723,4,04/04/2013,461,1,0,0,1,4614.572
184,26050,1025,7,26/05/2013,0,0,0,0,0,0.0
185,247671,18,7,04/01/2015,0,0,0,0,0,0.0
186,615467,997,3,03/09/2014,378,1,1,0,1,4378.8687
187,267972,400,6,05/10/2013,805,1,0,0,0,6725.965
188,22318,1047,2,09/07/2013,491,1,0,0,0,4917.0645
189,430083,819,1,02/09/2013,472,1,0,0,0,4870.431
190,510014,668,1,02/06/2014,1562,1,1,0,0,13981.348
191,343803,585,4,22/01/2015,666,1,0,0,0,5595.073
192,85161,99,1,10/03/2014,404,1,0,0,0,4049.801
193,505852,965,6,22/11/2014,847,1,0,0,0,7262.1333
194,266131,590,4,21/02/2013,376,1,1,0,0,4136.0166
195,397091,709,2,02/06/2015,1682,1,1,0,0,14377.592
196,112013,58,7,20/10/2013,0,0,0,0,0,0.0
197,492019,409,7,09/02/2014,0,0,0,0,0,0.0
198,73240,850,6,04/04/2015,826,1,0,0,0,8207.31
199,203948,1058,3,06/03/2013,737,1,1,0,0,7122.6304
200,603210,1067,7,13/04/2014,0,0,0,0,0,0.0
201,82813,777,1,21/04/2014,0,0,0,b,1,0.0
202,634511,155,3,21/05/2014,632,1,1,0,0,7316.052
203,28171,598,1,29/06/2015,871,1,1,0,0,8931.064
204,198571,493,2,01/07/2014,902,1,1,0,0,8813.53
205,70073,628,7,03/08/2014,0,0,0,0,1,0.0
206,551321,524,1,30/12/2013,1193,1,0,0,1,11754.406
207,509286,966,4,04/04/2013,585,1,0,0,1,4783.273
208,24413,1022,5,27/12/2013,791,1,0,0,1,7048.636
209,367168,380,3,05/03/2014,1720,1,1,0,0,17000.457
210,103724,132,3,14/01/2015,579,1,1,0,0,6129.8486
211,704886,400,5,26/06/2015,999,1,0,0,0,8441.864
212,568270,988,4,29/08/2013,790,1,1,0,0,6895.4546
213,627934,906,2,19/03/2013,1476,1,1,0,0,13158.879
214,520091,1028,2,05/11/2013,689,1,1,0,0,6537.196
215,505933,1100,6,23/03/2013,484,1,0,0,0,3993.9026
216,67603,759,1,14/01/2013,607,1,0,0,0,4422.869
217,96570,223,1,27/10/2014,716,1,0,0,0,5651.7676
218,696883,936,7,15/03/2015,0,0,0,0,0,0.0
219,216455,780,6,11/07/2015,341,1,0,0,0,3014.0056
220,472114,259,5,28/11/2014,2677,1,1,0,0,17964.768
221,437836,131,6,09/11/2013,582,1,0,0,0,5709.052
222,467331,251,3,28/01/2015,2241,1,1,0,0,18189.504
223,423483,1079,6,17/01/2015,517,1,0,0,0,5139.479
224,533535,1003,3,05/03/2014,1029,1,1,0,0,8108.1475
225,82465,980,4,05/09/2013,450,1,0,0,0,4271.3975
226,245480,654,2,27/01/2015,766,1,1,0,0,7550.1895
227,155723,966,4,25/07/2013,517,1,0,0,1,4272.1787
228,167485,1020,1,22/09/2014,929,1,0,0,0,6716.1904
229,574217,969,3,19/03/2014,610,1,1,0,0,5068.3853
230,307718,1038,2,07/04/2015,490,1,0,0,1,4955.4307
231,250666,516,3,09/07/2014,453,1,0,0,1,4444.1396
232,233447,733,1,14/01/2013,3171,1,0,0,0,13385.455
233,9408,595,6,31/05/2014,1881,1,0,0,0,15618.588
234,532318,260,3,16/07/2014,962,1,1,0,1,8697.003
235,213221,768,6,02/02/2013,1251,1,0,0,0,10935.48
236,149118,940,1,14/01/2013,627,1,0,0,0,5503.1875
237,643815,364,4,27/06/2013,563,1,0,0,0,4451.542
238,205464,506,3,22/07/2015,763,1,0,0,1,6695.1113
239,172737,671,3,29/05/2013,507,1,1,0,1,6072.396
240,358803,300,6,24/01/2015,862,1,0,0,0,7513.958
241,432064,84,2,17/06/2014,1563,1,1,0,0,14465.349
242,243176,219,4,07/05/2015,455,1,1,0,0,3934.0664
243,165487,934,5,22/03/2013,764,1,1,0,0,7036.843
244,206630,125,3,01/04/2015,1906,1,1,0,1,16630.633
245,380228,176,3,04/12/2013,757,1,1,0,0,7935.492
246,278339,223,2,26/11/2013,675,1,0,0,0,5628.6787
247,125602,326,1,14/07/2014,429,1,1,0,0,5444.6055
248,707930,339,2,27/08/2013,745,1,1,0,0,7300.9673
249,647013,872,3,08/04/2015,659,1,0,0,1,6217.236
250,404917,579,7,23/11/2014,0,0,0,0,0,0.0
251,607690,974,5,28/02/2014,1599,1,0,0,0,10626.253
252,63394,979,7,12/04/2015,0,0,0,0,0,0.0
253,334403,880,3,04/06/2014,806,1,1,0,0,7240.194
254,440195,910,7,31/03/2013,0,0,0,0,0,0.0
255,87636,1084,6,04/07/2015,614,1,0,0,0,4726.7925
256,189540,92,5,12/06/2015,453,1,0,0,0,4622.422
257,18218,14,6,20/06/2015,402,1,0,0,0,3992.7827
258,396021,587,1,30/12/2013,960,1,0,0,1,8607.49
259,442052,230,4,24/10/2013,856,1,1,0,0,7823.769
260,397202,689,6,15/03/2014,589,1,0,0,0,5873.6157
261,251121,599,1,13/05/2013,1096,1,1,0,0,10649.745
262,463013,596,7,22/12/2013,0,0,0,0,0,0.0
263,655331,576,1,11/03/2013,749,1,0,0,0,5712.3315
264,327407,141,4,26/06/2014,493,1,0,0,0,4476.703
265,355157,751,1,21/04/2014,0,0,0,b,1,0.0
266,654124,877,5,01/03/2013,925,1,0,0,0,8180.4844
267,602473,375,2,23/04/2013,948,1,1,0,0,8416.478
268,414480,230,1,08/12/2014,988,1,0,0,0,8517.124
269,574764,545,3,22/01/2014,1087,1,1,0,0,10660.403
270,136740,1022,1,04/03/2013,1093,1,1,0,0,10461.607
271,240843,597,3,20/08/2014,756,1,1,0,1,6092.247
272,130323,559,7,08/06/2014,0,0,0,0,0,0.0
273,688030,1024,6,18/07/2015,825,1,0,0,0,6849.7495
274,43133,36,2,17/03/2015,1205,1,1,0,0,10989.635
275,172856,702,2,28/05/2013,351,1,1,0,1,4152.6797
276,446048,623,7,10/02/2013,0,0,0,0,0,0.0
277,36534,105,4,17/10/2013,483,1,0,0,0,4336.7944
278,612801,902,2,19/11/2013,648,1,1,0,0,6748.8755
279,256750,11,6,11/04/2015,786,1,0,0,0,6781.0723
280,623446,1039,5,28/06/2013,629,1,0,0,0,5811.385
281,63314,102,1,16/02/2015,1174,1,1,0,0,11045.31
282,238452,543,5,18/10/2013,175,1,0,0,1,1985.8241
283,43919,827,4,02/01/2014,1910,1,0,0,1,14478.012
284,258378,110,3,08/10/2014,647,1,1,0,0,6401.238
285,59774,945,1,05/01/2015,698,1,1,0,1,8097.36
286,31637,582,3,12/03/2014,749,1,0,0,0,5603.475
287,673741,554,4,16/01/2014,428,1,0,0,0,3756.6987
288,659942,486,2,08/07/2014,384,1,0,0,1,3900.2822
289,349639,637,6,15/02/2014,520,1,0,0,0,5074.8535
290,394865,806,5,31/01/2014,578,1,0,0,0,6397.615
291,255648,887,6,21/06/2014,462,1,0,0,0,4535.6978
292,379128,374,6,04/04/2015,668,1,0,0,0,6857.074
293,540897,1025,5,04/01/2013,804,1,0,0,1,6165.026
294,662220,638,2,06/08/2013,431,1,0,0,1,4178.579
295,160268,123,6,09/05/2015,490,1,0,0,0,4772.2324
296,654290,905,4,19/02/2015,1108,1,1,0,0,8934.338
297,599039,536,5,05/04/2013,989,1,0,0,1,8160.0215
298,651027,763,7,01/02/2015,0,0,0,0,0,0.0
299,553569,191,6,10/08/2013,694,1,0,0,0,6314.3687
300,271750,957,4,20/02/2014,948,1,1,0,0,7751.1094
301,709864,268,4,04/06/2015,618,1,1,0,0,5860.6045
302,300796,654,6,07/09/2013,266,1,0,0,0,2260.0422
303,413674,612,6,07/09/2013,388,1,0,0,0,3903.5537
304,8402,747,3,27/08/2014,567,1,0,0,1,5199.79
305,310059,656,6,18/05/2013,380,1,0,0,0,3285.115
306,319105,368,5,05/04/2013,592,1,0,0,1,6011.7725
307,689752,959,3,18/09/2013,552,1,0,0,0,4729.625
308,516276,329,2,03/02/2015,708,1,1,0,0,7333.3945
309,338342,97,3,22/07/2015,535,1,0,0,1,5028.926
310,666229,314,2,13/08/2013,661,1,1,0,1,7303.948
311,8353,463,7,11/01/2015,0,0,0,0,0,0.0
312,386012,258,1,20/05/2013,0,0,0,a,0,0.0
313,471619,283,3,13/11/2013,621,1,0,0,0,5481.2607
314,612347,556,1,15/04/2013,754,1,0,0,0,5042.745
315,514445,388,5,24/01/2014,1211,1,1,0,0,10938.686
316,396179,67,3,03/09/2014,837,1,1,0,1,8066.378
317,590638,725,5,16/01/2015,677,1,1,0,0,7303.749
318,683448,219,4,06/06/2013,416,1,1,0,0,3228.2517
319,218062,1077,2,10/02/2015,479,1,0,0,0,4373.39
320,706606,322,4,23/05/2013,589,1,0,0,0,5096.918
321,453487,814,3,20/02/2013,581,1,1,0,1,5956.799
322,240904,134,7,30/06/2013,0,0,0,0,0,0.0
323,326681,54,4,11/07/2013,657,1,0,0,0,5944.1597
324,272937,662,5,26/04/2013,854,1,1,0,0,7427.1343
325,11415,126,7,19/04/2015,0,0,0,0,0,0.0
326,436957,1001,6,30/11/2013,471,1,0,0,0,4859.9478
327,171033,657,4,13/02/2014,598,1,0,0,0,5083.1216
328,632521,590,4,14/03/2013,319,1,0,0,0,3179.234
329,179002,193,3,25/12/2013,0,0,0,c,1,0.0
330,345971,168,6,21/09/2013,465,1,0,0,0,4272.127
331,463457,16,1,22/07/2013,839,1,0,0,0,6208.5083
332,674866,244,1,04/02/2013,738,1,1,0,0,7864.8604
333,479231,545,7,08/02/2015,0,0,0,0,0,0.0
334,369184,1032,6,19/01/2013,492,1,0,0,0,4678.2964
335,564608,290,5,31/05/2013,987,1,1,0,0,9525.648
336,421305,548,4,24/01/2013,335,1,1,0,0,4609.392
337,312789,733,1,04/08/2014,3508,1,1,0,1,16807.61
338,548456,654,4,06/06/2013,716,1,1,0,0,6822.727
339,195259,272,6,04/05/2013,377,1,0,0,0,3246.4058
340,669573,1017,3,20/03/2013,1176,1,1,0,0,9824.191
341,599293,708,2,20/05/2014,462,1,1,0,0,5147.572
342,33900,819,4,08/01/2015,454,1,1,0,0,5528.8296
343,74619,99,3,26/06/2013,372,1,0,0,0,3726.4788
344,284898,982,2,10/12/2013,710,1,0,0,0,6487.9644
345,402135,683,5,03/04/2015,0,0,1,b,1,0.0
346,447277,194,3,16/10/2013,373,1,0,0,0,3917.0693
347,588164,853,2,30/06/2015,1201,1,1,0,0,12176.728
348,456931,53,1,28/04/2014,650,1,1,0,1,7857.741
349,221701,281,4,07/02/2013,508,1,1,0,0,5483.5825
350,535271,101,2,02/09/2014,879,1,1,0,0,8184.366
351,171677,440,5,05/06/2015,769,1,1,0,1,7772.6177
352,226127,994,2,18/03/2014,435,1,1,0,0,5198.1953
353,414979,168,2,30/07/2013,930,1,1,0,1,9608.195
354,500051,48,7,27/10/2013,0,0,0,0,0,0.0
355,329177,652,6,15/02/2014,501,1,0,0,0,4684.874
356,541113,934,6,11/01/2014,474,1,0,0,0,4384.954
357,124681,223,6,29/03/2014,589,1,0,0,0,5553.5654
358,284177,378,5,26/12/2014,0,0,0,c,1,0.0
359,90749,865,3,17/07/2013,624,1,1,0,0,6960.474
360,237894,466,5,31/01/2014,861,1,0,0,0,8143.423
361,506152,789,5,14/02/2014,546,1,0,0,0,4667.2065
362,622882,61,7,07/06/2015,0,0,0,0,0,0.0
363,34430,765,4,19/12/2013,1068,1,1,0,0,12801.058
364,268594,673,1,23/02/2015,500,1,0,0,0,4654.338
365,368485,258,3,25/06/2014,444,1,0,0,0,4463.4326
366,602478,740,3,08/10/2014,499,1,1,0,0,6046.4507
367,202788,1080,1,16/09/2013,764,1,0,0,0,7847.841
368,675955,918,5,20/06/2014,661,1,1,0,0,6024.2617
369,611958,857,6,22/06/2013,1004,1,0,0,0,7555.32
370,597571,837,1,01/07/2013,482,1,1,0,0,4629.2705
371,317074,516,7,01/03/2015,0,0,0,0,0,0.0
372,380943,446,2,27/05/2014,505,1,0,0,0,4002.6187
373,649251,835,4,30/05/2013,0,0,1,a,0,0.0
374,386136,140,7,03/02/2013,0,0,0,0,0,0.0
375,411910,207,3,14/08/2013,1584,1,1,0,0,13630.995
376,119756,961,4,29/01/2015,668,1,1,0,0,6824.03
377,251963,772,2,18/03/2014,507,1,1,0,0,5234.43
378,292719,1089,2,02/09/2014,1050,1,1,0,0,10613.7
379,77065,521,3,05/03/2014,421,1,1,0,0,4936.976
380,206967,823,5,17/01/2014,600,1,0,0,0,5604.8823
381,521339,436,6,14/09/2013,426,1,0,0,0,3758.582
382,363365,483,7,09/03/2014,0,0,0,0,0,0.0
383,481077,215,2,25/03/2014,333,1,0,0,0,3598.0667
384,711386,109,5,29/05/2015,802,1,0,0,0,8166.267
385,66970,858,1,16/12/2013,590,1,1,0,0,7211.2583
386,435729,425,4,05/03/2015,501,1,1,0,0,4916.4326
387,426284,357,5,24/07/2015,905,1,0,0,1,7735.7036
388,435236,255,1,02/02/2015,575,1,1,0,0,6695.6963
389,199039,798,6,07/02/2015,343,1,0,0,0,3130.1396
390,99250,366,6,23/03/2013,304,1,0,0,0,3132.2485
391,580140,534,2,07/04/2015,510,1,0,0,1,5029.95
392,254820,179,5,20/06/2014,1176,1,1,0,0,10382.234
393,155130,258,2,03/09/2013,464,1,0,0,1,4529.431
394,503682,693,5,29/08/2014,384,1,0,0,1,4147.0557
395,288534,999,4,24/10/2013,685,1,1,0,1,6944.151
396,67050,834,6,19/04/2014,492,1,0,0,0,4743.5015
397,174771,512,4,31/10/2013,1410,1,0,0,1,6406.1753
398,442288,818,2,23/04/2013,662,1,1,0,0,5998.9683
399,606734,534,6,12/10/2013,606,1,0,0,0,5650.6196
400,431156,1084,2,17/12/2013,1099,1,1,0,0,10193.445
401,424121,34,2,10/03/2015,861,1,0,0,0,6821.516
402,557753,101,4,27/03/2014,686,1,0,0,0,5775.8613
403,520831,187,1,02/03/2015,885,1,1,0,0,9642.246
404,376589,20,1,23/09/2013,1041,1,1,0,0,9918.912
405,7670,828,7,26/10/2014,0,0,0,0,0,0.0
406,303546,434,1,12/08/2013,823,1,1,0,1,9603.757
407,236740,738,1,04/05/2015,864,1,1,0,0,10458.733
408,145734,351,5,07/03/2014,569,1,1,0,0,6545.6123
409,134420,1020,4,30/01/2014,905,1,0,0,0,6779.7593
410,691699,86,7,11/08/2013,0,0,0,0,0,0.0
411,233889,266,3,17/06/2015,573,1,1,0,0,5732.498
412,653554,608,5,20/06/2014,1024,1,1,0,0,9720.768
413,481046,708,5,21/02/2014,493,1,1,0,1,5131.661
414,423103,734,3,05/02/2014,605,1,1,0,0,6735.8477
415,693486,776,7,07/06/2015,0,0,0,0,0,0.0
416,90193,1060,2,09/04/2013,853,1,1,0,0,8262.25
417,119482,182,2,29/04/2014,507,1,1,0,0,6110.6035
418,525167,542,3,16/01/2013,431,1,0,0,0,4767.0186
419,239754,602,1,06/05/2013,610,1,0,0,0,5937.4106
420,332806,101,4,07/11/2013,777,1,1,0,0,7549.1313
421,142056,784,7,30/06/2013,0,0,0,0,0,0.0
422,673000,679,7,17/11/2013,0,0,0,0,0,0.0
423,567353,535,4,14/08/2014,793,1,0,0,1,6596.6104
424,696641,844,4,06/02/2014,516,1,1,0,0,4863.928
425,628766,595,7,24/05/2015,0,0,0,0,0,0.0
426,544695,25,6,30/03/2013,1831,1,0,0,0,14409.086
427,652921,416,3,03/12/2014,1819,1,1,0,0,14705.591
428,436682,539,4,22/01/2015,966,1,0,0,0,7544.764
429,158580,77,3,28/08/2013,642,1,1,0,0,6292.8433
430,184394,641,2,09/07/2013,493,1,0,0,0,4561.313
431,523534,445,6,10/01/2015,1201,1,0,0,0,9121.163
432,133026,318,5,03/05/2013,822,1,1,0,0,8449.663
433,296285,394,3,13/11/2013,539,1,0,0,0,5132.8716
434,14477,761,5,07/02/2014,1014,1,1,0,1,8269.124
435,130799,706,2,28/07/2015,578,1,1,0,0,7311.629
436,17306,41,5,28/02/2014,433,1,0,0,0,4731.989
437,617975,894,1,07/07/2014,958,1,0,0,1,7288.0117
438,668657,169,6,03/05/2014,801,1,0,0,0,7812.688
439,460228,1012,1,09/06/2014,0,0,0,a,0,0.0
440,26534,310,4,29/08/2013,868,1,1,0,0,8769.437
